Reaction	Flux Value
EX_etoh[d]	234.434015507376
EX_h2o[d]	165892.342500366
EX_caro[d]	0.00358558063868411
EX_retinol[d]	3.00225238748885
EX_thm[d]	5.40785801339038
EX_adpcbl[d]	0.00000360855006052868
EX_ribflv[d]	0.00369323412792778
EX_nac[d]	0.30861619226627
EX_ncam[d]	0.145527600499817
EX_pnto_R[d]	0.0255697049402686
EX_pydam[d]	0.00317177006440072
EX_pydxn[d]	0.00317220502138381
EX_pydx[d]	0.00321045851728662
EX_btn[d]	0.000178666327993894
EX_10fthf[d]	0.000125752137038594
EX_5mthf[d]	0.000129311313237557
EX_thf[d]	0.000133695809304773
EX_ascb_L[d]	0.58344116649402
EX_vitd3[d]	0.00000876149165825399
EX_avite1[d]	0.0368580802547259
EX_phyQ[d]	0.000136877276619236
EX_ca2[d]	18.549079295374
EX_cl[d]	375.557498660198
EX_k[d]	83.433806584941
EX_mg2[d]	14.529932112734
EX_na1[d]	172.446271718304
EX_pi[d]	14.2266092792925
EX_cu2[d]	0.0356749441349574
EX_fe2[d]	0.109248813680723
EX_fe3[d]	0.109248813680723
EX_mn2(e)	0.07470233059804
EX_zn2(e)	0.150963597430407
EX_mnl(e)	0.170169038237532
EX_xylt[d]	0.141969084917231
EX_lcts[d]	4.12671470494148
EX_malt[d]	8.41375824760113
EX_sucr[d]	202.383021737003
EX_fru[d]	106.505865197865
EX_gal[d]	0.0299740391516459
EX_cellul(e)	0.052346876171936
EX_ala_L[d]	37.2085636165274
EX_arg_L[d]	20.3518771021335
EX_asp_L[d]	47.0867491277091
EX_cys_L[d]	7.5118316383043
EX_glu_L[d]	103.122200527918
EX_gly[d]	36.7646862919061
EX_urate[d]	2.91939280341538
EX_his_L[d]	14.0240766306639
EX_ile_L[d]	28.9216751325922
EX_leu_L[d]	46.8878099058571
EX_lys_L[d]	33.3115482470592
EX_met_L[d]	10.7274046938804
EX_phe_L[d]	20.7149866425811
EX_pro_L[d]	53.8152791831878
EX_ser_L[d]	37.3792255591735
EX_thr_L[d]	25.8810502421104
EX_trp_L[d]	4.55482477186948
EX_tyr_L[d]	15.6468539670012
EX_val_L[d]	37.7843773128131
EX_dca[d]	10.7484261929606
EX_ddca[d]	13.4590471717898
EX_ttdca[d]	30.2113800398482
EX_ttdcea[d]	3.78398479501178
EX_ptdca[d]	2.89407662964767
EX_hdca[d]	92.7850671903611
EX_hpdca[d]	1.77952492310981
EX_ocdca[d]	35.850866390117
EX_ocdcea[d]	101.592732580242
EX_lnlc[d]	54.9854618653545
EX_lnlnca[d]	4.1633368983032
EX_strdnc[d]	0
EX_arach[d]	1.0330553972827
EX_CE2510[d]	1.0866650339605
EX_CE4843[d]	0.114865262591682
EX_arachd[d]	0.536810750978139
EX_docosac[d]	0.4540962307068
EX_doco13ac[d]	0.560730442644664
EX_adrn[d]	0
EX_clpnd[d]	0.0483768856818379
EX_crvnc[d]	0.166300079729987
EX_but[d]	26.3342564399315
EX_octa[d]	6.84557290848338
EX_chsterol[d]	1.23218850986736
EX_sbt_D[d]	0.0329359428846836
EX_glc_D[d]	135.580350130082
EX_lgnc[d]	0.222615855993872
EX_fol[d]	0.0001346137907466
EX_hdcea[d]	7.1204730223287
EX_strch1[d]	33.0369997278473
EX_i[d]	0.00201237986337282
EX_starch1200(e)	0.305869770147688
